title,issueNumber,publisher,publicationDate,writer,artist,description,coverUrl,condition,marketValue,status,purchasePrice,salePrice,saleDate,salePlatform,id,tags
Comics Dinastia M Coleccion Imprescindibles #4 Ovni Press,4,OVNI PRESS,2016-01-01,Brian Michael Bendis,Olivier coipel,"Colección Imprescindibles MARVEL 04 – Dinastía M
Formato: Libro, 17 x 24 cm.
Páginas: 208 (Color).
¡El acontecimiento que cambió el mundo de los mutantes para siempre! Los Avengers y los X-Men se ven enfrentados a un enemigo común… ¡Wanda Maximoff! Scarlet Witch está fuera de control y se ha convertido en la mayor amenaza del mundo. El mismísimo destino del planeta está en sus manos.
¿Ayudará Magneto a su hija o usará sus poderes para su propio beneficio? Scarlet Witch podría transformar a la Tierra en el paraíso mutante… ¡o condenar a todos los seres vivos!
¿Has visto que a veces se dice la frase “NADA VOLVERÁ A SER LO MISMO”? Bueno, ¡esta vez créelo! Porque después de Dinastía M… ¡NADA VOLVERÁ A SER LO MISMO! Incluye House of M #1-8.",https://http2.mlstatic.com/D_NQ_NP_2X_643102-MLA28683408242_112018-F.webp,9,30000,available,,,,,1754002053237,
Héroes en Crisis,1,OVNI PRESS,,Tom King,Clay Mann,"Bienvenidos al Santuario, un hospital secreto para superhéroes que han sido traumatizados por la lucha contra el crimen y el combate cósmico. Pero algo sale inexplicablemente mal cuando muchos pacientes terminan muertos, con dos conocidos personajes como los principales sospechosos: ¡Harley Quinn y Booster Gold!

Corresponde a Heroes in Crisis #1-9 USA.

Formato: Libro | 17x24 cm | 224 págs.
Peso: 700 gr.
ISBN: 978-987-724-649-0",https://acdn-us.mitiendanube.com/stores/001/184/069/products/heroes_en_crisis_cov_arg1-00ebd9cbc28987035f16046669498029-1024-1024.webp,9,15000,available,,,,,1754053612726,"Superman,Batman,DC"
BATMAN Vol.07: La Boda,7,OVNI PRESS,,King,Tony Daniel,"Autores: King • Janín • Daniel

 

¡EL batrimonio finalmente ha llegado! Durante años, el Murciélago y la Gata han luchado con uñas y dientes, solo para revertir el curso y luchar lado a lado. Ahora, por fin, sus verdaderos sentimientos mutuos están a la vista... y Batman y Catwoman están a punto de sellar su unión con la boda del siglo. Pero el Joker intentará convertirse en el padrino del Caballero Oscuro, y a donde sea que vaya el Príncipe Payaso del Crimen, el caos seguramente lo seguirá.

 

Corresponde a DC Nation #0 (“The Joker: Your Big Day”), Robin vs. Ra’s Al Ghul #1, Nightwing vs. Hush #1, Batgirl vs. The Riddler #1, Red Hood vs. Anarky #1, Harley Quinn vs. The Joker #1, Batman #45-50.

 

Formato: Libro | 17x24 cm

ISBN: 978-987-724-618-6",https://acdn-us.mitiendanube.com/stores/001/184/069/products/batman_la_boda_cov1-4acd6ce5f7c651e4c115933744435615-1024-1024.webp,9,20000,available,,,,,1754054137005,"Batman,DC"
Libro: El Hombre De Arena 1: Preludios Y Nocturnos,1,OVNI PRESS,,Gaiman,,"Una de las novelas gráficas más populares y aclamadas por la crítica de todos los tiempos, la galardonada obra maestra de Neil Gaiman, The Sandman, estableció el estándar para la fantasía lírica y madura en la era del cómic moderno. Ilustrada por una selección ejemplar de los artistas más talentosos del medio, la serie es una rica mezcla de mitología antigua y moderna en la que la ficción contemporánea, el drama histórico y la leyenda se entrelazan a la perfección.

El hombre de arena vol. 1: Preludios y Nocturnos Edición 30 Aniversario recopila los números 1 a 8 de la edición original de The Sandman, comenzando una saga épica única en la literatura gráfica y presentando a los lectores un mundo oscuro y encantador de sueños y pesadillas: el hogar de Morfeo, el Rey de los Sueños y sus parientes, los Sin Fin.



Color: Negro.

Marca: DC Comics
Dimensiones: 0.26 x 0.17 x 0.01mts.
Peso del Producto: 0.42 Kilogramos.
Peso de Envio: 0.42 Kilogramos.
Modelo: Ref:",https://http2.mlstatic.com/D_NQ_NP_2X_710095-CBT76047872523_042024-F.webp,9,20000,available,,,,,1754054403804,"Sandman,DC"
Wolverine - El Viejo Logan - Marvel Excelsior - Ovni Press,1,OVNI PRESS,,Millar,McNiven,"Nadie sabe qué ocurrió la noche en que los héroes cayeron; solo que todos desaparecieron y el mal triunfó. En el último medio siglo nadie ha visto al hombre conocido como Logan. Pero algo le hará salir de las sombras…

Corresponde a Wolverine (2003) #66-72 y Wolverine: Old Man Logan Giant-Size #1 USA.
Formato: Libro tapa blanda | 17x24 cm | 216 págs.",https://http2.mlstatic.com/D_NQ_NP_2X_823795-MLA43017425714_082020-F.webp,9,8000,available,,,,,1754055025202,Wolverine
Selecciones Marvel Thor Dios del Trueno 1 al 4 - Completa,4/4,OVNI PRESS,,Aaron,Ribic,"A través de las eras, los dioses se han estado desvaneciendo, dejando a sus fieles mortales inmersos en el caos. La única esperanza para estos mundos devastados es que un Thor del pasado, uno del presente y uno del distante enfrenten al Carnicero de Dioses y su aterrador complot celestial.",https://acdn-us.mitiendanube.com/stores/001/385/701/products/f14d0d559edc4ec1b654d2efa3190c42-c822ad685c39e6b4df17388793611509-480-0.webp,9,40000,available,,,,,1754055749928,THOR
THOR VOL.06: PRESA,6,Panini Comics,,Cates,,"Lo que tenés que saber de este producto
Año de publicación: 2023.
Con índice: Sí.
Volumen del libro: 6.
Tapa del libro: Blanda.
Género: Literatura y ficción.
Subgénero: Super heroes.
Historieta.
Número de páginas: 184.
Edad mínima recomendada: 7 años.
ISBN: 09786076365618.",https://http2.mlstatic.com/D_NQ_NP_924424-MLU79045069695_092024-O.webp,9,10000,available,,,,,1754056180493,Thor
"Secret Wars 3 - Gerra Civil + Inhumanos - Marvel, de Marvel Comics. Editorial OVNI Press en español",,Marvel,,,,"¡Los héroes de la tierra616 y la tierra1610 no pudieron salvarlo! Ahora, lo único que queda... ¡Es MUNDOBATALLA! ¡Un enorme planeta mosaico, compuesto de los fragmentos de mundos que ya no existen, mantenidos por la voluntad de hierro de su dios y amo, Victor Von Doom! Cada región es un dominio en sí mismo, ¡y en el llamado Zona de Guerra la batalla por el Acta de Registro Superhumano nunca terminó! En otro sector, ¡la resistencia conocida como La Voz Nunca Oída se enfrenta a la tirana Reina Medusa!

Libro usado, completo y sin marcas de subrayado. Con marcas el uso en los bordes. Buen estado general.


Español
Nivel
.
ISBN
9789877241938
Peso ( kg )
0,59
Tipo
Soporte Físico
Año de edición
2016
Formato
Tapa rustica
Cantidad de páginas
224",https://sbslibreria.vtexassets.com/arquivos/ids/5082121-1600-auto?v=638857641815370000&width=1600&height=auto&aspect=true,8,10000,available,,,,,1754056572266,"Capitan America,Ironman"
Secret Wars 5 - Spider- Man - Dan Slott / Chrislos Gage (Usado),5,OVNI PRESS,,Slott,Gage,"Libro usado, completo y sin marcas de subrayado. Con marcas del uso en las tapas y bordes. Buen estado general.",https://http2.mlstatic.com/D_NQ_NP_2X_963981-MLA80224218239_102024-F.webp,7,5000,available,,,,,1754056906256,Spider-man
Secret Wars 13: Uncanny X-Men,13,OVNI PRESS,,"Salvador Dennis Hopeless ",,"EL MULTIVERSO FUE DESTRUIDO! ¡Los héroes de la tierra-616 y la tierra-1610 no pudieron salvarlo! Ahora, lo único que queda... ¡Es MUNDOBATALLA! ¡Un enorme planeta mosaico, compuesto de los fragmentos de mundos que ya no existen, mantenidos por la voluntad de hierro de su dios y amo, Victor Von Doom! Cada región es un dominio en sí mismo, gobernado por reyes. Magneto es el líder del paraíso mutante de Genosha, donde el homo superior manda... pero, ¿podrá contra todas las facciones que intentan derrocarlo? En otro sector, Magik sucumbe ante las fuerzas demoníacas del limbo, ¡que cuatro años atrás convirtieron Manhattan en el mismísimo Infierno! Incluye Secret Wars: Secret Wars: House of M #1-4 y Secret Wars: Inferno #1-5.",https://http2.mlstatic.com/D_NQ_NP_605421-MLA80631631747_112024-O.webp,9,10000,available,,,,,1754057707839,"Spiderman,Dinastia M"
JOCKER: Sonrisa Asesina,One shot,OVNI PRESS,,"Lemire ","Sorrentino ","Ningún psicólogo ha sido capaz de romper la locura que imprime la mente del Joker. Pero el Dr. Ben Arnell sabe que es diferente. Está seguro de que será él quien finalmente alcance al hombre que está dentro de la locura y lo cure. El Dr. Arnell cree que puede poner un muro entre él y el vacío que se es conde detrás de los ojos del Joker. Y está seguro de que puede mantener esa oscuridad lejos de su familia. Está muy, muy equivocado.

Corresponde a Joker: Killer Smile #1-3 y Batman: The Smile Killer

Formato: Libro | 17x24 cm

144 pags.

ISBN: 978-987-724-657-5",https://acdn-us.mitiendanube.com/stores/001/184/069/products/joker_sonrisa_asesina_cov1-c2afa4b9934b7940e716023875540063-1024-1024.webp,9,15000,available,,,,,1754415760211,"Joker,DC"
X-MEN VOL.05: AMANECER X PARTE 01,1,Panini Comics,2021-06-01,Hickman,Duggan,"Detalles de producto
Más información
IXMEN005
2021
Junio
120
X-MEN (TPB)
X-Men (2019) 1, Marauders (2019) 1, Excalibur (2019) 1

¡El amanecer de X! Los X-Men se encuentran en un nuevo mundo de posibilidades. ¡y las cosas nunca han sido mejores! ¡Es el comienzo de la saga de Cíclope y su escuadrón cuidadosamente seleccionado de poderosos mutantes! Además, dirigidos por la capitana Kate Pryde y financiados por Emma Frost y la Compañía Distribuidora Hellfire, los Marauders Tormenta, Pyro, Bishop y Iceman navegan por los mares del mundo para proteger a los odiados y a los temidos. Mientras tanto, ¡el Otro Mundo está sacudido por la guerra! Es una nueva era para los mutantes, ya que una nueva Capitana Britania sostiene el amuleto, luchando por el Reino de Avalon con los Excalibur a su lado: Rogue, Gambir, Rictor, Jubilee... ¡y Apocalipsis!",https://d14d9vp3wdof84.cloudfront.net/image/589816272436/image_2s4u6bau4d3a36gluoohhpkm6p/-S897-FWEBP,10,10000,available,,,,,1754603958270,"X-MEN,WOLVERINE"
X-MEN VOL.06: AMANECER X PARTE 02,2,Panini Comics,,Hickman,Duggan,"¡El nuevo amanecer tiene un precio alto! Los Nuevos Mutantes clásicos (Sunspot, Wolfsbane, Mirage, Karma, Magik y Cypher) se reúnen con algunos nuevos amigos (Chamber, Mondo) para buscar a su miembro desaparecido y compartir las buenas noticias. ¡una misión que los lleva al espacio junto con los Starjammers! En la Tierra, X-Force es la CIA del mundo mutante: mitad rama de inteligencia, mitad operaciones especiales. Bestia, Jean Grey y Sage por un lado, Wolverine, Kid Omega y Dominó por el otro. ¡En un mundo perfecto, no habría necesidad de X-Force! Además, Psylocke se encuentra insegura de su lugar en este nuevo mundo de mutantes... pero cuando una cara de su pasado regresa solo para ser asesinada, busca la ayuda de otros que se sienten similares para vengarse. ¡Cable y X-23 se unen a Kwannon para una misión personal que podría poner en peligro a todos los mutantes!

Detalles de producto
Más información
IXMEN006
2021
Julio
120
X-MEN (TPB)
New Mutants (2020) #1, X-Force (2020) #1, Fallen Angels #1

",https://d14d9vp3wdof84.cloudfront.net/image/589816272436/image_k86p7fp8u57h3805gdn216h07c/-S897-FWEBP,10,10000,available,,,,,1754604190109,"X-MEN,WOLVERINE"
X-MEN VOL.07: AMANECER X PARTE 03,3,Marvel,2021-06-07,Hickman,Duggan,"¡No amanece para todos los mutantes! Cuando una isla llena de horrores indescriptibles aparece en el horizonte, ¡los X-Men tienen que mantener a Krakoa a salvo! En un mundo perfecto no haría falta una X-Force, pero los mutantes todavía la necesitan. Mientras la Capitana Pryde navega los mares, en la Compañia Distribuidora Hellfire se pone en juego la coronación roja. Con la condición de rogue todavía un misterio, Excalibur se dirige al único lugar que siempre ha sido su sede: El Faro. Mientras Cable y X-23 se unen a Kwannon para una misión que podría poner en peligro a todos los mutantes, los Nuevos Mutantes se proponen encontrar a su miembro desaparecido y compartir las buenas noticias... ¡una misión que los lleva al espacio de Sh'iar!",https://d14d9vp3wdof84.cloudfront.net/image/589816272436/image_42btbu3kpp5al44h4tcm9vfb3a/-S897-FWEBP,10,10000,available,,,,,1754604290094,"X-MEN,WOLVERINE"
X-MEN VOL.08: AMANECER X PARTE 04,4,Panini Comics,2021-06-02,Hickman,Duggan,"Problemas en el paraíso! En la Tierra Salvaje, una inesperada amenaza humana aparece para desafiar a los mutantes. Una nueva X-Force se forma para contraatacar a los enemigos que buscan derrocarlos a toda costa. Las maquinaciones internas del Club Hellfire continúan, al igual que la búsqueda del Capitán Britania. El equipo mortal de Psylocke se enfrenta a lo imposible, y un grupo de jóvenes mutantes comienzan a forjar su futuro. ¡Krakoa deberá luchar para conseguir la paz que tanto anhela! ¡Jonathan Hickman y un talentoso equipo de guionistas y dibujantes continúan revolucionando a los mutantes en esté Amanecer X!

Detalles de producto
Más información
IXMEN008
2021
Octubre
160
X-MEN (TPB)
X-Men (2019) 3, Marauders (2019) 3, Excalibur (2019) 3, New Mutants (2020) #3, X-Force (2020) #3, Fallen Angels #3",https://d14d9vp3wdof84.cloudfront.net/image/589816272436/image_6m79drjavd6pvdrddbcfj3d51v/-S897-FWEBP,10,10000,available,,,,,1754604394939,"X-MEN,WOLVERINE"
THOR VOL.04: REY THOR,1,Panini Comics,2021-12-01,Aaron,,"¡Una última aventura del todopoderoso señor de Asgard! Jason Aaron y Esad Ribic introdujeron al Thor del futuro distante al principio de su épica saga del dios del Trueno. El padre de todo de un reino quebrado en un universo moribundo que luchaba contra Gorr, el carnicero de dioses. Ahora, en el final, la Necroespada ha vuelto, en manos de su mayor enemigo: ¡Loki! ¡es hora de un último enfrentamiento cataclísmico en el fin de todo!
Detalles de producto
Más información
ITHOR004
2021
Diciembre
112
THOR
King Thor (2019) #1-4",https://d14d9vp3wdof84.cloudfront.net/image/589816272436/image_78bdr1p1091b5724v0otml7q4h/-S897-FWEBP,9,10000,available,,,,,1754604640028,Thor
Thanos Vence,1,Panini Comics,2020-06-01,Cates,Shaw,"Si preguntaran a los seres más poderosos del Universo Marvel la manera en que temerían que llegara su fin, su respuesta honesta sería ´Thanos vence´. Y ahora imaginen que dicha posibilidad se convierte en realidad, cuando el Titán Loco viaja al futuro para presenciar su momento de victoria total. ¿Pero por qué no le complace lo que ve? Donny Cates toma las riendas del guión para dar forma a esta gran epopeya y para plasmarlo visualmente con la intensidad requerida hallamos en la mesa de dibujo a Geoff Shaw.

Detalles de producto
Más información
ITHAN001
2020
Junio
176
THANOS VENCE
Thanos (v2) #13-18, Thanos (v2) Annual 1
",https://d14d9vp3wdof84.cloudfront.net/image/589816272436/image_um57105kbt0kjejrhraf8m2p50/-S897-FWEBP,10,12000,available,,,,,1754604749223,Thanos
La Guerra De Los Reinos,1,Panini Comics,,Aaron,Dauterman,"La Guerra de los Reinos está sobre nosotros. Asgard. Alfheim. Heven. Jotunheim. Muspelheim. Niffleheim. Nidavellir. Svartalfheim. Vanaheim. Todos los Diez Reinos han caído en manos de Malekit y su ejército, excepto uno: Midgard. Hogar de los seres queridos de Thor. Hogar de héroes y dioses por igual. Ahora, finalmente, Midgard arde. Todo el infierno se desata en la ciudad de Nueva York cuando Malekith y sus aliados comienzan su invasión, ¡y nuestros héroes más grandes observan cómo cae la Tierra! Con Thor atrapado en la tierra de los Gigantes de Hielo y las fuerzas de la Tierra abrumadas, Pantera Negra, Jane Foster y el Doctor Strange emprenden una apuesta desesperada. ¿Qué puede detener a Malekith y su ejército? ¡Spider-Man, Daredevil, Punisher, Ghost Rider, Blade, Hulk y más se unen a la refriega mientras la épica saga de Thor de Jason Aaron explota en todo el Universo Marvel.

Detalles de producto
Más información
IGREI001
2021
Mayo
160
LA GUERRA DE LOS REINOS (TPB)
War of the Realms (2018) N° 1-6
",https://d14d9vp3wdof84.cloudfront.net/image/589816272436/image_7gsuk1lcgt0pdbave317b7ds3m/-S897-FWEBP,10,12000,available,,,,,1754604937541,"Thor,Wolverine"
THOR VOL.03: LA GUERRA DE LOS REINOS,3,Marvel,2021-08-01,Aaron,Del Mundo,"Cuando la guerra termine, ¿qué será de Thor? ¡El statu quo de quiebra al principio del final de la legendaria etapa de Jason Aaron! Adoptado por Odín cuando era un bebé, Loki nunca tuvo la oportunidad de vincularse con su gente: los temibles Gigantes de Hielo. Ahora, mientras invaden Nueva York, ¡Loki pasa un buen rato con su querido pasre, Laufey! Pero no de la forma en que pensarías... Mientras tanto, odín envía a su hermano Cul, dios del Miedo, a las profundidades de Svartalfheim en una misión vital. ¿Cul se redimirá finalmente? Y cuando era un dios joven, Thor ansiaba por un marillo legendario. Ahora su detino llega por fin, ¡porque la Guerra de los Reinos alcanza hasta los siglos pasados!
Detalles de producto
Más información
ITHOR003
2021
Agosto
120
THOR
Thor (2018) #12-16

",https://d14d9vp3wdof84.cloudfront.net/image/589816272436/image_iq9jom5e8937df63d67ogcao3u/-S897-FWEBP,10,10000,available,,,,,1754605049207,Thor
THOR VOL.02: CAMINO A LA GUERRA DE LOS REINOS,2,Panini Comics,2021-05-01,Aaron,Del Mundo,"¡El escenario está listo para La Guerra de los Reinos! Thor ha luchado a través de Hel, ¡pero ahora se encuentra prisionero de los temibles guerreros de Heven! ¿Puede incluso la intervención de Valquiria y la hermana mortal de Thor, Ángela, ayudar al Dios del Trueno a escapar de la ineludible prisión de los ángeles? Mientras tanto, con S.H.I.E.L.D. desaparecida, Roz Solomon se ha quedado a la deriva, pero está a punto de asumir un nuevo papel sorprendente... y crear un millón de nuevos enemigos. Porque se acerca la guerra, ¡y es posible que la invasión de la Tierra ya haya comenzando! Como Malekith apunta a todo lo que hay, ¿quedará Odín como el Padre de Nada? Además: hace siglos, Odín estaba decidido a mantener a un joven Tjor alejado de Midgard para siempre, ¡y Loki sabía cómo hacerlo!

Detalles de producto
Más información
ITHOR002
2021
Mayo
112
THOR
Thor (2018) N° 7-11
",https://d14d9vp3wdof84.cloudfront.net/image/589816272436/image_qgs7ls5erd0d1eelbtukc3h66u/-S897-FWEBP,10,10000,available,,,,,1754605171033,Thor
THOR VOL.01: EL DIOS DEL TRUENO RENACE,1,Panini Comics,,Aaron,Del Mundo,"Detalles de producto
Más información
ITHOR001
2021
Enero
160
THOR
Thor (2018) N° 1 (I y II) - 6

Puede que no tenga Mjolnir, pero tiene cientos de martillos nuevos y va a necesitar hasta el último de ellos para detener al imparable Juggernaut. Luego, los hijos de Odín vuelven a la carga cuando Thor se reúne con su hermano perdido, Balder, para enfrentarse a los ejércitos de duendes de fuego de la Reina de las Cenizas. La guerra se está librando en la tierra de los muertos, pero ¿podría la paz venir de un matrimonio hecho en Hel? Con Hela como novia, ¿qué hermano serpa el afortunado novio? Además, ¡Loki! ¡Thori el sabueso´ ¡Skurge con un arma realmente grande! ¡Valquirias! y en un futuro lejano, el Rey Thor conoce al Viejo Fénix... ¡y se enfrentan al doctor Doom en el final de los tiempos!

$ 14.500

",https://d14d9vp3wdof84.cloudfront.net/image/589816272436/image_qgs7ls5erd0d1eelbtukc3h66u/-S897-FWEBP,9,10000,available,,,,,1754605272292,Thor
THOR VOL.01: EL DIOS DEL TRUENO RENACE,1,Panini Comics,2021-07-01,Young,Klein,"Deadpool se va al sur ¡Y luego al infierno! Primero, Deadpool está alistado para luchar en la Guerra de los Reinos, ¡y enviado a Australia para resolver un molesto problema de trolls! No, no esos odiosos nerds de internet, ¡verdaderos trolls! ¿Wade Wilson será grande en el hemisferio sur? ¡Descúbrelo en una historia llena del tipo de carnicería que solo una nación que comenzó como una colonia penal puede producir! Si la Tierra, y Deadpool, de alguna manera logran superar la guerra de Malekith, será el momento de pagarle al diablo lo que le corresponde. Mefisto y Weasel tienen sus ojos diabólicos en Wade. ¿Buenas Noches finalmente obtendrá su venganza? Y si Deadpool sobrevive, ¿qué quedará de él? ¡Además, actos de maldad indescriptibles perseguirán tus sueños cuando el mercenario bocón se enfrente al mismísimo Nightmare!",https://d14d9vp3wdof84.cloudfront.net/image/589816272436/image_k006p3he3t2ft8co4vptjc2q5v/-S897-FWEBP,10,10000,available,,,,,1754605368025,Deadpool
